site,species,trait,env,value
412,Adenocaulon bicolor,-0.532628356,1.667496071,0
43,Adenocaulon bicolor,-0.532628356,-1.425096882,0
45,Adenocaulon bicolor,-0.532628356,0.202583619,0
49,Adenocaulon bicolor,-0.532628356,-0.692640656,0
50,Adenocaulon bicolor,-0.532628356,-1.099560782,0
51,Adenocaulon bicolor,-0.532628356,-0.285720531,0
53,Adenocaulon bicolor,-0.532628356,0.82110221,0
81,Adenocaulon bicolor,-0.532628356,0.69088777,0
83,Adenocaulon bicolor,-0.532628356,1.423343995,0
84,Adenocaulon bicolor,-0.532628356,-0.070866705,0
109,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.350827751,2
113,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.774024681,0
12,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.667496071,0
156,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.01642387,0
157,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.34195997,0
160,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.392543272,0
161,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.936792732,0
163,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.197221612,0
164,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.285720531,0
185,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.423343995,0
187,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.69088777,0
188,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.01642387,0
190,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.75599499,0
191,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.609503745,0
192,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.587864932,0
193,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.75599499,0
194,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.300244449,0
223,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.099560782,0
224,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.448488581,0
225,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.099560782,0
226,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.262328832,0
227,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.262328832,1
230,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.448488581,0
247,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.69088777,0
248,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.01642387,0
250,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.285720531,0
29,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.774024681,0
30,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.936792732,0
306,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.34195997,0
