site,species,trait,env,value
50,Ceanothus integerrimus,-0.929046638,-1.099560782,0
51,Ceanothus integerrimus,-0.929046638,-0.285720531,0
53,Ceanothus integerrimus,-0.929046638,0.82110221,0
81,Ceanothus integerrimus,-0.929046638,0.69088777,0
83,Ceanothus integerrimus,-0.929046638,1.423343995,0
84,Ceanothus integerrimus,-0.929046638,-0.070866705,0
109,Chimaphila menziesii,-0.216598244,-0.350827751,0
113,Chimaphila menziesii,-0.216598244,-0.774024681,0
12,Chimaphila menziesii,-0.216598244,1.667496071,0
156,Chimaphila menziesii,-0.216598244,1.01642387,0
157,Chimaphila menziesii,-0.216598244,1.34195997,0
160,Chimaphila menziesii,-0.216598244,-1.392543272,0
161,Chimaphila menziesii,-0.216598244,-0.936792732,0
163,Chimaphila menziesii,-0.216598244,-1.197221612,0
164,Chimaphila menziesii,-0.216598244,-0.285720531,0
185,Chimaphila menziesii,-0.216598244,1.423343995,0
187,Chimaphila menziesii,-0.216598244,0.69088777,0
188,Chimaphila menziesii,-0.216598244,1.01642387,0
190,Chimaphila menziesii,-0.216598244,0.75599499,0
191,Chimaphila menziesii,-0.216598244,0.609503745,0
192,Chimaphila menziesii,-0.216598244,-1.587864932,0
193,Chimaphila menziesii,-0.216598244,0.75599499,0
194,Chimaphila menziesii,-0.216598244,0.300244449,0
223,Chimaphila menziesii,-0.216598244,-1.099560782,0
224,Chimaphila menziesii,-0.216598244,-0.448488581,0
225,Chimaphila menziesii,-0.216598244,-1.099560782,0
226,Chimaphila menziesii,-0.216598244,-1.262328832,0
227,Chimaphila menziesii,-0.216598244,-1.262328832,0
230,Chimaphila menziesii,-0.216598244,-0.448488581,0
247,Chimaphila menziesii,-0.216598244,0.69088777,0
248,Chimaphila menziesii,-0.216598244,1.01642387,0
250,Chimaphila menziesii,-0.216598244,-0.285720531,0
29,Chimaphila menziesii,-0.216598244,-0.774024681,0
30,Chimaphila menziesii,-0.216598244,-0.936792732,0
306,Chimaphila menziesii,-0.216598244,1.34195997,0
307,Chimaphila menziesii,-0.216598244,1.394045746,0
308,Chimaphila menziesii,-0.216598244,-0.350827751,0
31,Chimaphila menziesii,-0.216598244,-0.204336506,0
32,Chimaphila menziesii,-0.216598244,1.47217441,0
33,Chimaphila menziesii,-0.216598244,1.08153109,0
34,Chimaphila menziesii,-0.216598244,0.82110221,0
35,Chimaphila menziesii,-0.216598244,0.283967644,0
38,Chimaphila menziesii,-0.216598244,-0.503829718,0
39,Chimaphila menziesii,-0.216598244,-0.774024681,0
407,Chimaphila menziesii,-0.216598244,0.905741596,0
409,Chimaphila menziesii,-0.216598244,-1.480438019,0
410,Chimaphila menziesii,-0.216598244,-1.425096882,2
411,Chimaphila menziesii,-0.216598244,-0.936792732,0
412,Chimaphila menziesii,-0.216598244,1.667496071,0
43,Chimaphila menziesii,-0.216598244,-1.425096882,0
45,Chimaphila menziesii,-0.216598244,0.202583619,0
49,Chimaphila menziesii,-0.216598244,-0.692640656,0
50,Chimaphila menziesii,-0.216598244,-1.099560782,0
51,Chimaphila menziesii,-0.216598244,-0.285720531,0
53,Chimaphila menziesii,-0.216598244,0.82110221,0
81,Chimaphila menziesii,-0.216598244,0.69088777,0
83,Chimaphila menziesii,-0.216598244,1.423343995,0
84,Chimaphila menziesii,-0.216598244,-0.070866705,0
109,Chimaphila umbellata,1.317563447,-0.350827751,0
113,Chimaphila umbellata,1.317563447,-0.774024681,0
12,Chimaphila umbellata,1.317563447,1.667496071,0
156,Chimaphila umbellata,1.317563447,1.01642387,0
157,Chimaphila umbellata,1.317563447,1.34195997,0
160,Chimaphila umbellata,1.317563447,-1.392543272,1
161,Chimaphila umbellata,1.317563447,-0.936792732,0
163,Chimaphila umbellata,1.317563447,-1.197221612,0
164,Chimaphila umbellata,1.317563447,-0.285720531,1
185,Chimaphila umbellata,1.317563447,1.423343995,0
187,Chimaphila umbellata,1.317563447,0.69088777,0
188,Chimaphila umbellata,1.317563447,1.01642387,0
190,Chimaphila umbellata,1.317563447,0.75599499,1
191,Chimaphila umbellata,1.317563447,0.609503745,0
192,Chimaphila umbellata,1.317563447,-1.587864932,0
193,Chimaphila umbellata,1.317563447,0.75599499,0
194,Chimaphila umbellata,1.317563447,0.300244449,0
223,Chimaphila umbellata,1.317563447,-1.099560782,1
224,Chimaphila umbellata,1.317563447,-0.448488581,0
225,Chimaphila umbellata,1.317563447,-1.099560782,1
226,Chimaphila umbellata,1.317563447,-1.262328832,0
227,Chimaphila umbellata,1.317563447,-1.262328832,0
230,Chimaphila umbellata,1.317563447,-0.448488581,7
247,Chimaphila umbellata,1.317563447,0.69088777,0
248,Chimaphila umbellata,1.317563447,1.01642387,0
250,Chimaphila umbellata,1.317563447,-0.285720531,0
29,Chimaphila umbellata,1.317563447,-0.774024681,4
30,Chimaphila umbellata,1.317563447,-0.936792732,0
306,Chimaphila umbellata,1.317563447,1.34195997,0
307,Chimaphila umbellata,1.317563447,1.394045746,0
308,Chimaphila umbellata,1.317563447,-0.350827751,1
31,Chimaphila umbellata,1.317563447,-0.204336506,0
32,Chimaphila umbellata,1.317563447,1.47217441,0
33,Chimaphila umbellata,1.317563447,1.08153109,0
34,Chimaphila umbellata,1.317563447,0.82110221,0
35,Chimaphila umbellata,1.317563447,0.283967644,0
38,Chimaphila umbellata,1.317563447,-0.503829718,0
39,Chimaphila umbellata,1.317563447,-0.774024681,0
407,Chimaphila umbellata,1.317563447,0.905741596,0
409,Chimaphila umbellata,1.317563447,-1.480438019,0
410,Chimaphila umbellata,1.317563447,-1.425096882,4
411,Chimaphila umbellata,1.317563447,-0.936792732,0
412,Chimaphila umbellata,1.317563447,1.667496071,0
43,Chimaphila umbellata,1.317563447,-1.425096882,0
45,Chimaphila umbellata,1.317563447,0.202583619,0
49,Chimaphila umbellata,1.317563447,-0.692640656,0
50,Chimaphila umbellata,1.317563447,-1.099560782,0
51,Chimaphila umbellata,1.317563447,-0.285720531,2
53,Chimaphila umbellata,1.317563447,0.82110221,0
81,Chimaphila umbellata,1.317563447,0.69088777,0
83,Chimaphila umbellata,1.317563447,1.423343995,1
84,Chimaphila umbellata,1.317563447,-0.070866705,1
109,Chrysolepis chrysophylla,1.811650133,-0.350827751,0
113,Chrysolepis chrysophylla,1.811650133,-0.774024681,0
12,Chrysolepis chrysophylla,1.811650133,1.667496071,4
156,Chrysolepis chrysophylla,1.811650133,1.01642387,0
157,Chrysolepis chrysophylla,1.811650133,1.34195997,6
160,Chrysolepis chrysophylla,1.811650133,-1.392543272,19
161,Chrysolepis chrysophylla,1.811650133,-0.936792732,66
163,Chrysolepis chrysophylla,1.811650133,-1.197221612,25
164,Chrysolepis chrysophylla,1.811650133,-0.285720531,16
185,Chrysolepis chrysophylla,1.811650133,1.423343995,0
187,Chrysolepis chrysophylla,1.811650133,0.69088777,0
188,Chrysolepis chrysophylla,1.811650133,1.01642387,0
190,Chrysolepis chrysophylla,1.811650133,0.75599499,78
191,Chrysolepis chrysophylla,1.811650133,0.609503745,0
192,Chrysolepis chrysophylla,1.811650133,-1.587864932,10
193,Chrysolepis chrysophylla,1.811650133,0.75599499,9
194,Chrysolepis chrysophylla,1.811650133,0.300244449,9
223,Chrysolepis chrysophylla,1.811650133,-1.099560782,0
224,Chrysolepis chrysophylla,1.811650133,-0.448488581,0
225,Chrysolepis chrysophylla,1.811650133,-1.099560782,0
226,Chrysolepis chrysophylla,1.811650133,-1.262328832,0
227,Chrysolepis chrysophylla,1.811650133,-1.262328832,0
230,Chrysolepis chrysophylla,1.811650133,-0.448488581,15
247,Chrysolepis chrysophylla,1.811650133,0.69088777,0
248,Chrysolepis chrysophylla,1.811650133,1.01642387,0
250,Chrysolepis chrysophylla,1.811650133,-0.285720531,0
29,Chrysolepis chrysophylla,1.811650133,-0.774024681,0
30,Chrysolepis chrysophylla,1.811650133,-0.936792732,0
306,Chrysolepis chrysophylla,1.811650133,1.34195997,4
307,Chrysolepis chrysophylla,1.811650133,1.394045746,0
308,Chrysolepis chrysophylla,1.811650133,-0.350827751,0
31,Chrysolepis chrysophylla,1.811650133,-0.204336506,10
32,Chrysolepis chrysophylla,1.811650133,1.47217441,0
33,Chrysolepis chrysophylla,1.811650133,1.08153109,0
34,Chrysolepis chrysophylla,1.811650133,0.82110221,18
35,Chrysolepis chrysophylla,1.811650133,0.283967644,16
38,Chrysolepis chrysophylla,1.811650133,-0.503829718,0
39,Chrysolepis chrysophylla,1.811650133,-0.774024681,0
407,Chrysolepis chrysophylla,1.811650133,0.905741596,9
409,Chrysolepis chrysophylla,1.811650133,-1.480438019,36
410,Chrysolepis chrysophylla,1.811650133,-1.425096882,21
411,Chrysolepis chrysophylla,1.811650133,-0.936792732,16
412,Chrysolepis chrysophylla,1.811650133,1.667496071,0
43,Chrysolepis chrysophylla,1.811650133,-1.425096882,8
45,Chrysolepis chrysophylla,1.811650133,0.202583619,6
49,Chrysolepis chrysophylla,1.811650133,-0.692640656,9
50,Chrysolepis chrysophylla,1.811650133,-1.099560782,17
51,Chrysolepis chrysophylla,1.811650133,-0.285720531,0
53,Chrysolepis chrysophylla,1.811650133,0.82110221,0
81,Chrysolepis chrysophylla,1.811650133,0.69088777,0
83,Chrysolepis chrysophylla,1.811650133,1.423343995,0
84,Chrysolepis chrysophylla,1.811650133,-0.070866705,0
109,Clintonia uniflora,-0.526083999,-0.350827751,0
113,Clintonia uniflora,-0.526083999,-0.774024681,0
12,Clintonia uniflora,-0.526083999,1.667496071,0
156,Clintonia uniflora,-0.526083999,1.01642387,0
157,Clintonia uniflora,-0.526083999,1.34195997,0
160,Clintonia uniflora,-0.526083999,-1.392543272,0
161,Clintonia uniflora,-0.526083999,-0.936792732,0
163,Clintonia uniflora,-0.526083999,-1.197221612,0
164,Clintonia uniflora,-0.526083999,-0.285720531,0
185,Clintonia uniflora,-0.526083999,1.423343995,0
187,Clintonia uniflora,-0.526083999,0.69088777,0
188,Clintonia uniflora,-0.526083999,1.01642387,0
190,Clintonia uniflora,-0.526083999,0.75599499,0
191,Clintonia uniflora,-0.526083999,0.609503745,0
192,Clintonia uniflora,-0.526083999,-1.587864932,0
193,Clintonia uniflora,-0.526083999,0.75599499,0
194,Clintonia uniflora,-0.526083999,0.300244449,0
223,Clintonia uniflora,-0.526083999,-1.099560782,0
224,Clintonia uniflora,-0.526083999,-0.448488581,0
225,Clintonia uniflora,-0.526083999,-1.099560782,0
226,Clintonia uniflora,-0.526083999,-1.262328832,0
227,Clintonia uniflora,-0.526083999,-1.262328832,0
230,Clintonia uniflora,-0.526083999,-0.448488581,2
247,Clintonia uniflora,-0.526083999,0.69088777,0
248,Clintonia uniflora,-0.526083999,1.01642387,0
250,Clintonia uniflora,-0.526083999,-0.285720531,0
29,Clintonia uniflora,-0.526083999,-0.774024681,0
30,Clintonia uniflora,-0.526083999,-0.936792732,0
306,Clintonia uniflora,-0.526083999,1.34195997,0
307,Clintonia uniflora,-0.526083999,1.394045746,0
308,Clintonia uniflora,-0.526083999,-0.350827751,0
31,Clintonia uniflora,-0.526083999,-0.204336506,0
32,Clintonia uniflora,-0.526083999,1.47217441,0
33,Clintonia uniflora,-0.526083999,1.08153109,0
34,Clintonia uniflora,-0.526083999,0.82110221,0
35,Clintonia uniflora,-0.526083999,0.283967644,0
38,Clintonia uniflora,-0.526083999,-0.503829718,0
39,Clintonia uniflora,-0.526083999,-0.774024681,0
407,Clintonia uniflora,-0.526083999,0.905741596,0
409,Clintonia uniflora,-0.526083999,-1.480438019,0
410,Clintonia uniflora,-0.526083999,-1.425096882,0
411,Clintonia uniflora,-0.526083999,-0.936792732,0
412,Clintonia uniflora,-0.526083999,1.667496071,0
43,Clintonia uniflora,-0.526083999,-1.425096882,0
45,Clintonia uniflora,-0.526083999,0.202583619,0
49,Clintonia uniflora,-0.526083999,-0.692640656,0
50,Clintonia uniflora,-0.526083999,-1.099560782,0
51,Clintonia uniflora,-0.526083999,-0.285720531,0
53,Clintonia uniflora,-0.526083999,0.82110221,0
81,Clintonia uniflora,-0.526083999,0.69088777,0
83,Clintonia uniflora,-0.526083999,1.423343995,0
84,Clintonia uniflora,-0.526083999,-0.070866705,0
109,Collomia heterophylla,0.286286234,-0.350827751,0
113,Collomia heterophylla,0.286286234,-0.774024681,0
12,Collomia heterophylla,0.286286234,1.667496071,0
156,Collomia heterophylla,0.286286234,1.01642387,0
157,Collomia heterophylla,0.286286234,1.34195997,0
160,Collomia heterophylla,0.286286234,-1.392543272,0
161,Collomia heterophylla,0.286286234,-0.936792732,0
163,Collomia heterophylla,0.286286234,-1.197221612,0
164,Collomia heterophylla,0.286286234,-0.285720531,0
185,Collomia heterophylla,0.286286234,1.423343995,0
187,Collomia heterophylla,0.286286234,0.69088777,0
188,Collomia heterophylla,0.286286234,1.01642387,0
190,Collomia heterophylla,0.286286234,0.75599499,0
191,Collomia heterophylla,0.286286234,0.609503745,0
192,Collomia heterophylla,0.286286234,-1.587864932,0
193,Collomia heterophylla,0.286286234,0.75599499,0
194,Collomia heterophylla,0.286286234,0.300244449,0
223,Collomia heterophylla,0.286286234,-1.099560782,0
224,Collomia heterophylla,0.286286234,-0.448488581,0
225,Collomia heterophylla,0.286286234,-1.099560782,0
226,Collomia heterophylla,0.286286234,-1.262328832,0
227,Collomia heterophylla,0.286286234,-1.262328832,1
230,Collomia heterophylla,0.286286234,-0.448488581,0
247,Collomia heterophylla,0.286286234,0.69088777,0
248,Collomia heterophylla,0.286286234,1.01642387,0
250,Collomia heterophylla,0.286286234,-0.285720531,0
29,Collomia heterophylla,0.286286234,-0.774024681,0
30,Collomia heterophylla,0.286286234,-0.936792732,0
306,Collomia heterophylla,0.286286234,1.34195997,0
307,Collomia heterophylla,0.286286234,1.394045746,0
308,Collomia heterophylla,0.286286234,-0.350827751,0
31,Collomia heterophylla,0.286286234,-0.204336506,0
32,Collomia heterophylla,0.286286234,1.47217441,0
33,Collomia heterophylla,0.286286234,1.08153109,0
34,Collomia heterophylla,0.286286234,0.82110221,0
35,Collomia heterophylla,0.286286234,0.283967644,0
38,Collomia heterophylla,0.286286234,-0.503829718,0
39,Collomia heterophylla,0.286286234,-0.774024681,0
407,Collomia heterophylla,0.286286234,0.905741596,0
409,Collomia heterophylla,0.286286234,-1.480438019,0
410,Collomia heterophylla,0.286286234,-1.425096882,0
411,Collomia heterophylla,0.286286234,-0.936792732,0
412,Collomia heterophylla,0.286286234,1.667496071,0
43,Collomia heterophylla,0.286286234,-1.425096882,0
45,Collomia heterophylla,0.286286234,0.202583619,0
49,Collomia heterophylla,0.286286234,-0.692640656,0
50,Collomia heterophylla,0.286286234,-1.099560782,0
51,Collomia heterophylla,0.286286234,-0.285720531,0
53,Collomia heterophylla,0.286286234,0.82110221,0
81,Collomia heterophylla,0.286286234,0.69088777,0
83,Collomia heterophylla,0.286286234,1.423343995,0
84,Collomia heterophylla,0.286286234,-0.070866705,0
109,Coptis laciniata,0.915326539,-0.350827751,0
113,Coptis laciniata,0.915326539,-0.774024681,0
12,Coptis laciniata,0.915326539,1.667496071,0
156,Coptis laciniata,0.915326539,1.01642387,0
157,Coptis laciniata,0.915326539,1.34195997,0
160,Coptis laciniata,0.915326539,-1.392543272,0
161,Coptis laciniata,0.915326539,-0.936792732,0
163,Coptis laciniata,0.915326539,-1.197221612,0
164,Coptis laciniata,0.915326539,-0.285720531,0
185,Coptis laciniata,0.915326539,1.423343995,0
187,Coptis laciniata,0.915326539,0.69088777,0
188,Coptis laciniata,0.915326539,1.01642387,0
190,Coptis laciniata,0.915326539,0.75599499,0
191,Coptis laciniata,0.915326539,0.609503745,0
192,Coptis laciniata,0.915326539,-1.587864932,0
193,Coptis laciniata,0.915326539,0.75599499,0
194,Coptis laciniata,0.915326539,0.300244449,0
223,Coptis laciniata,0.915326539,-1.099560782,0
224,Coptis laciniata,0.915326539,-0.448488581,0
225,Coptis laciniata,0.915326539,-1.099560782,0
226,Coptis laciniata,0.915326539,-1.262328832,0
227,Coptis laciniata,0.915326539,-1.262328832,0
230,Coptis laciniata,0.915326539,-0.448488581,0
247,Coptis laciniata,0.915326539,0.69088777,0
248,Coptis laciniata,0.915326539,1.01642387,0
250,Coptis laciniata,0.915326539,-0.285720531,0
29,Coptis laciniata,0.915326539,-0.774024681,0
30,Coptis laciniata,0.915326539,-0.936792732,0
306,Coptis laciniata,0.915326539,1.34195997,0
307,Coptis laciniata,0.915326539,1.394045746,0
308,Coptis laciniata,0.915326539,-0.350827751,0
31,Coptis laciniata,0.915326539,-0.204336506,0
32,Coptis laciniata,0.915326539,1.47217441,0
33,Coptis laciniata,0.915326539,1.08153109,0
34,Coptis laciniata,0.915326539,0.82110221,0
35,Coptis laciniata,0.915326539,0.283967644,0
38,Coptis laciniata,0.915326539,-0.503829718,0
39,Coptis laciniata,0.915326539,-0.774024681,0
407,Coptis laciniata,0.915326539,0.905741596,0
409,Coptis laciniata,0.915326539,-1.480438019,0
410,Coptis laciniata,0.915326539,-1.425096882,0
411,Coptis laciniata,0.915326539,-0.936792732,0
412,Coptis laciniata,0.915326539,1.667496071,0
43,Coptis laciniata,0.915326539,-1.425096882,0
45,Coptis laciniata,0.915326539,0.202583619,0
49,Coptis laciniata,0.915326539,-0.692640656,0
50,Coptis laciniata,0.915326539,-1.099560782,0
51,Coptis laciniata,0.915326539,-0.285720531,0
53,Coptis laciniata,0.915326539,0.82110221,0
81,Coptis laciniata,0.915326539,0.69088777,0
83,Coptis laciniata,0.915326539,1.423343995,0
84,Coptis laciniata,0.915326539,-0.070866705,2
109,Cornus nuttallii,0.208591959,-0.350827751,2
113,Cornus nuttallii,0.208591959,-0.774024681,0
12,Cornus nuttallii,0.208591959,1.667496071,0
156,Cornus nuttallii,0.208591959,1.01642387,0
157,Cornus nuttallii,0.208591959,1.34195997,0
160,Cornus nuttallii,0.208591959,-1.392543272,0
161,Cornus nuttallii,0.208591959,-0.936792732,0
163,Cornus nuttallii,0.208591959,-1.197221612,0
164,Cornus nuttallii,0.208591959,-0.285720531,0
185,Cornus nuttallii,0.208591959,1.423343995,0
187,Cornus nuttallii,0.208591959,0.69088777,0
188,Cornus nuttallii,0.208591959,1.01642387,0
190,Cornus nuttallii,0.208591959,0.75599499,0
191,Cornus nuttallii,0.208591959,0.609503745,0
192,Cornus nuttallii,0.208591959,-1.587864932,6
193,Cornus nuttallii,0.208591959,0.75599499,0
194,Cornus nuttallii,0.208591959,0.300244449,0
223,Cornus nuttallii,0.208591959,-1.099560782,8
224,Cornus nuttallii,0.208591959,-0.448488581,5
225,Cornus nuttallii,0.208591959,-1.099560782,2
226,Cornus nuttallii,0.208591959,-1.262328832,0
227,Cornus nuttallii,0.208591959,-1.262328832,4
230,Cornus nuttallii,0.208591959,-0.448488581,0
247,Cornus nuttallii,0.208591959,0.69088777,0
248,Cornus nuttallii,0.208591959,1.01642387,0
250,Cornus nuttallii,0.208591959,-0.285720531,0
29,Cornus nuttallii,0.208591959,-0.774024681,0
30,Cornus nuttallii,0.208591959,-0.936792732,0
306,Cornus nuttallii,0.208591959,1.34195997,0
307,Cornus nuttallii,0.208591959,1.394045746,0
308,Cornus nuttallii,0.208591959,-0.350827751,0
31,Cornus nuttallii,0.208591959,-0.204336506,0
32,Cornus nuttallii,0.208591959,1.47217441,0
33,Cornus nuttallii,0.208591959,1.08153109,13
34,Cornus nuttallii,0.208591959,0.82110221,3
35,Cornus nuttallii,0.208591959,0.283967644,8
38,Cornus nuttallii,0.208591959,-0.503829718,0
39,Cornus nuttallii,0.208591959,-0.774024681,0
407,Cornus nuttallii,0.208591959,0.905741596,0
409,Cornus nuttallii,0.208591959,-1.480438019,28
410,Cornus nuttallii,0.208591959,-1.425096882,0
411,Cornus nuttallii,0.208591959,-0.936792732,0
412,Cornus nuttallii,0.208591959,1.667496071,2
43,Cornus nuttallii,0.208591959,-1.425096882,0
45,Cornus nuttallii,0.208591959,0.202583619,0
49,Cornus nuttallii,0.208591959,-0.692640656,0
50,Cornus nuttallii,0.208591959,-1.099560782,4
51,Cornus nuttallii,0.208591959,-0.285720531,0
53,Cornus nuttallii,0.208591959,0.82110221,0
81,Cornus nuttallii,0.208591959,0.69088777,0
83,Cornus nuttallii,0.208591959,1.423343995,0
84,Cornus nuttallii,0.208591959,-0.070866705,5
109,Corylus cornuta,-1.080208067,-0.350827751,0
113,Corylus cornuta,-1.080208067,-0.774024681,0
12,Corylus cornuta,-1.080208067,1.667496071,0
156,Corylus cornuta,-1.080208067,1.01642387,0
157,Corylus cornuta,-1.080208067,1.34195997,0
160,Corylus cornuta,-1.080208067,-1.392543272,4
161,Corylus cornuta,-1.080208067,-0.936792732,0
163,Corylus cornuta,-1.080208067,-1.197221612,4
164,Corylus cornuta,-1.080208067,-0.285720531,0
185,Corylus cornuta,-1.080208067,1.423343995,0
187,Corylus cornuta,-1.080208067,0.69088777,0
188,Corylus cornuta,-1.080208067,1.01642387,0
190,Corylus cornuta,-1.080208067,0.75599499,0
191,Corylus cornuta,-1.080208067,0.609503745,0
192,Corylus cornuta,-1.080208067,-1.587864932,12
193,Corylus cornuta,-1.080208067,0.75599499,0
194,Corylus cornuta,-1.080208067,0.300244449,0
223,Corylus cornuta,-1.080208067,-1.099560782,10
224,Corylus cornuta,-1.080208067,-0.448488581,6
225,Corylus cornuta,-1.080208067,-1.099560782,0
226,Corylus cornuta,-1.080208067,-1.262328832,17
227,Corylus cornuta,-1.080208067,-1.262328832,6
230,Corylus cornuta,-1.080208067,-0.448488581,2
247,Corylus cornuta,-1.080208067,0.69088777,0
248,Corylus cornuta,-1.080208067,1.01642387,0
250,Corylus cornuta,-1.080208067,-0.285720531,7
29,Corylus cornuta,-1.080208067,-0.774024681,0
30,Corylus cornuta,-1.080208067,-0.936792732,0
306,Corylus cornuta,-1.080208067,1.34195997,0
307,Corylus cornuta,-1.080208067,1.394045746,0
308,Corylus cornuta,-1.080208067,-0.350827751,0
31,Corylus cornuta,-1.080208067,-0.204336506,0
32,Corylus cornuta,-1.080208067,1.47217441,0
33,Corylus cornuta,-1.080208067,1.08153109,0
34,Corylus cornuta,-1.080208067,0.82110221,0
35,Corylus cornuta,-1.080208067,0.283967644,0
38,Corylus cornuta,-1.080208067,-0.503829718,0
39,Corylus cornuta,-1.080208067,-0.774024681,0
407,Corylus cornuta,-1.080208067,0.905741596,0
409,Corylus cornuta,-1.080208067,-1.480438019,0
410,Corylus cornuta,-1.080208067,-1.425096882,13
411,Corylus cornuta,-1.080208067,-0.936792732,0
412,Corylus cornuta,-1.080208067,1.667496071,12
43,Corylus cornuta,-1.080208067,-1.425096882,0
45,Corylus cornuta,-1.080208067,0.202583619,0
49,Corylus cornuta,-1.080208067,-0.692640656,4
50,Corylus cornuta,-1.080208067,-1.099560782,3
51,Corylus cornuta,-1.080208067,-0.285720531,0
53,Corylus cornuta,-1.080208067,0.82110221,0
81,Corylus cornuta,-1.080208067,0.69088777,0
83,Corylus cornuta,-1.080208067,1.423343995,0
84,Corylus cornuta,-1.080208067,-0.070866705,0
109,Cupressus lawsoniana,0.737699864,-0.350827751,0
113,Cupressus lawsoniana,0.737699864,-0.774024681,0
12,Cupressus lawsoniana,0.737699864,1.667496071,5
156,Cupressus lawsoniana,0.737699864,1.01642387,0
157,Cupressus lawsoniana,0.737699864,1.34195997,0
160,Cupressus lawsoniana,0.737699864,-1.392543272,11
161,Cupressus lawsoniana,0.737699864,-0.936792732,27
163,Cupressus lawsoniana,0.737699864,-1.197221612,45
164,Cupressus lawsoniana,0.737699864,-0.285720531,78
185,Cupressus lawsoniana,0.737699864,1.423343995,0
187,Cupressus lawsoniana,0.737699864,0.69088777,0
188,Cupressus lawsoniana,0.737699864,1.01642387,0
190,Cupressus lawsoniana,0.737699864,0.75599499,36
191,Cupressus lawsoniana,0.737699864,0.609503745,0
192,Cupressus lawsoniana,0.737699864,-1.587864932,0
193,Cupressus lawsoniana,0.737699864,0.75599499,12
194,Cupressus lawsoniana,0.737699864,0.300244449,38
223,Cupressus lawsoniana,0.737699864,-1.099560782,0
224,Cupressus lawsoniana,0.737699864,-0.448488581,0
225,Cupressus lawsoniana,0.737699864,-1.099560782,0
226,Cupressus lawsoniana,0.737699864,-1.262328832,14
227,Cupressus lawsoniana,0.737699864,-1.262328832,23
230,Cupressus lawsoniana,0.737699864,-0.448488581,15
247,Cupressus lawsoniana,0.737699864,0.69088777,0
248,Cupressus lawsoniana,0.737699864,1.01642387,0
250,Cupressus lawsoniana,0.737699864,-0.285720531,0
29,Cupressus lawsoniana,0.737699864,-0.774024681,0
30,Cupressus lawsoniana,0.737699864,-0.936792732,29
306,Cupressus lawsoniana,0.737699864,1.34195997,0
307,Cupressus lawsoniana,0.737699864,1.394045746,5
308,Cupressus lawsoniana,0.737699864,-0.350827751,0
31,Cupressus lawsoniana,0.737699864,-0.204336506,0
32,Cupressus lawsoniana,0.737699864,1.47217441,0
33,Cupressus lawsoniana,0.737699864,1.08153109,0
34,Cupressus lawsoniana,0.737699864,0.82110221,0
35,Cupressus lawsoniana,0.737699864,0.283967644,0
38,Cupressus lawsoniana,0.737699864,-0.503829718,0
39,Cupressus lawsoniana,0.737699864,-0.774024681,0
407,Cupressus lawsoniana,0.737699864,0.905741596,0
409,Cupressus lawsoniana,0.737699864,-1.480438019,5
410,Cupressus lawsoniana,0.737699864,-1.425096882,11
411,Cupressus lawsoniana,0.737699864,-0.936792732,0
412,Cupressus lawsoniana,0.737699864,1.667496071,23
43,Cupressus lawsoniana,0.737699864,-1.425096882,5
45,Cupressus lawsoniana,0.737699864,0.202583619,38
49,Cupressus lawsoniana,0.737699864,-0.692640656,0
50,Cupressus lawsoniana,0.737699864,-1.099560782,0
51,Cupressus lawsoniana,0.737699864,-0.285720531,0
53,Cupressus lawsoniana,0.737699864,0.82110221,0
81,Cupressus lawsoniana,0.737699864,0.69088777,0
83,Cupressus lawsoniana,0.737699864,1.423343995,0
84,Cupressus lawsoniana,0.737699864,-0.070866705,32
109,Elymus glaucus,-1.094278795,-0.350827751,0
113,Elymus glaucus,-1.094278795,-0.774024681,0
12,Elymus glaucus,-1.094278795,1.667496071,0
156,Elymus glaucus,-1.094278795,1.01642387,0
157,Elymus glaucus,-1.094278795,1.34195997,0
160,Elymus glaucus,-1.094278795,-1.392543272,0
161,Elymus glaucus,-1.094278795,-0.936792732,0
163,Elymus glaucus,-1.094278795,-1.197221612,0
164,Elymus glaucus,-1.094278795,-0.285720531,0
185,Elymus glaucus,-1.094278795,1.423343995,0
187,Elymus glaucus,-1.094278795,0.69088777,0
188,Elymus glaucus,-1.094278795,1.01642387,0
190,Elymus glaucus,-1.094278795,0.75599499,0
191,Elymus glaucus,-1.094278795,0.609503745,0
192,Elymus glaucus,-1.094278795,-1.587864932,0
193,Elymus glaucus,-1.094278795,0.75599499,0
194,Elymus glaucus,-1.094278795,0.300244449,0
223,Elymus glaucus,-1.094278795,-1.099560782,0
224,Elymus glaucus,-1.094278795,-0.448488581,0
225,Elymus glaucus,-1.094278795,-1.099560782,0
226,Elymus glaucus,-1.094278795,-1.262328832,0
227,Elymus glaucus,-1.094278795,-1.262328832,0
230,Elymus glaucus,-1.094278795,-0.448488581,0
247,Elymus glaucus,-1.094278795,0.69088777,0
248,Elymus glaucus,-1.094278795,1.01642387,0
250,Elymus glaucus,-1.094278795,-0.285720531,0
29,Elymus glaucus,-1.094278795,-0.774024681,0
30,Elymus glaucus,-1.094278795,-0.936792732,0
306,Elymus glaucus,-1.094278795,1.34195997,0
307,Elymus glaucus,-1.094278795,1.394045746,0
308,Elymus glaucus,-1.094278795,-0.350827751,0
31,Elymus glaucus,-1.094278795,-0.204336506,0
32,Elymus glaucus,-1.094278795,1.47217441,1
33,Elymus glaucus,-1.094278795,1.08153109,0
